Seqno,STOCK_ID,GS_ACCNO,NAME,Source_Accno,CROPYEAR,AWPR_REPRO,CUDI_CODE_REPRO,CULT_CODE_REPRO,CUNO_CODE_REPRO,LLT_CODE,PLT_CODE_POST,SDHT_CODE,APANTH_REPRO,APSH,APCO_REV_POST,APCO_REV_REPRO,AWCO_LREV,AWCO_REV,AWDIST,BLANTHPR_VEG,BLANTHDI_VEG,BLPUB_VEG,BLSCO_ANTH_VEG,BLSCO_REV_VEG,CCO_REV_VEG,CUAN_REPRO,ENDO,FLA_EREPRO,FLA_REPRO,INANTH,LIGCO_REV_VEG,LIGSH,LPCO_REV_POST,LPPUB,LSEN,NOANTH,PEX_REPRO,PTH,SCCO_REV,SECOND_BR_REPRO,SLCO_REV,SPKF,SLLT_CODE,AUCO_REV_VEG,BLCO_REV_VEG,CUST_REPRO,INCO_REV_REPRO,LA,NOCO_REV,PA_REPRO,PSH,PTY
37,52,125798,KETAN MENAH::IRGC 48733-1,48733,,0,2,5,2,4,3,1,,,,080,,000,,,,3,,060,061,3,2,,7,,011,3,042,4,7,,5,3,010,1,020,4,1,061,060,1,060,4,,2,1,5
38,54,126225,KOSAGI::IRGC 57692-1,57692,,0,2,5,2,4,3,2,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,053,3,9,,7,1,010,1,020,4,3,061,063,3,041,6,,2,1,5
39,55,125640,ARC 11430 B::IRGC 14567-1,14567,,0,1,3,2,3,3,1,,,,010,,000,,,,3,,060,060,1,1,,3,,011,,020,,9,,9,2,010,,020,4,3,061,063,7,060,,,,,1
40,56,125724,DARAWAL::IRGC 71514-1,71514,,0,2,6,2,3,3,2,,,,080,,000,,,,3,,060,061,3,1,,5,,011,3,042,1,7,,9,2,010,1,020,5,3,061,063,3,084,3,,2,1,5
41,57,125631,81 A 32::IRGC 60162-1,60162,,0,2,2,2,2,3,1,,,,052,,000,,,,3,,060,061,3,1,,3,,011,3,020,5,9,,7,1,010,1,020,4,3,061,060,3,041,3,,2,1,5
42,58,117593,YANGKUM (RED)::IRGC 32406-1,32406,,0,1,6,2,3,3,2,,,,080,,000,,,,3,,060,060,1,1,,5,,011,,020,,9,,9,2,070,,020,4,3,061,063,7,060,,,,,5
43,59,125855,NEWREX::IRGC 64657-1,64657,1994WS,0,2,4,3,3,3,2,,,020,020,,000,,,,3,,060,061,1,1,,3,,011,3,020,1,7,,7,3,010,1,020,4,3,061,060,1,041,1,060,2,5,5
44,61,,SITORU::IRGC 66669-1,66669,,0,1,2,2,3,3,2,,,,070,,000,,,,3,,060,061,3,1,,5,,011,3,042,3,5,,9,3,010,1,020,4,3,061,063,3,041,1,,2,1,5
45,62,117494,JC 1::IRGC 9091-1,9091,,0,2,5,2,3,3,1,,,,080,,000,,,,3,,060,060,1,1,,1,,011,,054,,1,,9,2,010,,020,4,3,061,060,1,060,,,,,1
46,63,117551,PANKHARI 203::IRGC 5999-1,5999,,0,1,5,2,3,3,1,,,,080,,000,,,,3,,060,060,1,1,,5,,011,,042,,1,,9,3,010,,,3,5,061,061,9,060,,,,,9
